Timestamp: 1414738860, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 50
Timestamp: 1414738860, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 25
Timestamp: 1414738920, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 44
Timestamp: 1414738920, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 4
Timestamp: 1414738980, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 61
Timestamp: 1414738980, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 87
Timestamp: 1414739040, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 34
Timestamp: 1414739040, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 21
Timestamp: 1414739100, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 31
Timestamp: 1414739100, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 57
Timestamp: 1414739160, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 11
Timestamp: 1414739160, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 60
Timestamp: 1414739220, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 87
Timestamp: 1414739220, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 45
Timestamp: 1414739280, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 43
Timestamp: 1414739280, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 56
Timestamp: 1414739340, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 15
Timestamp: 1414739340, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 82
Timestamp: 1414739400, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 87
Timestamp: 1414739400, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 1
Timestamp: 1414739460, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 39
Timestamp: 1414739460, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 39
Timestamp: 1414739520, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 54
Timestamp: 1414739520, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 87
Timestamp: 1414739580, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 35
Timestamp: 1414739580, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 94
Timestamp: 1414739640, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 77
Timestamp: 1414739640, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 25
Timestamp: 1414739700, CPU: 192.168.2.175 , CPU_id: 0 , %usage: 74
Timestamp: 1414739700, CPU: 192.168.2.175 , CPU_id: 1 , %usage: 56
